Glottocode	Doculect
biao1254	SHUANGLONG_MIEN
biao1256	DONGSHAN_BIAO_MON
biat1246	BIATAH_BIDAYUH
bidi1241	BIDIYA
bidy1243	BIDJARA
bidy1244	BIJOGO
bier1244	BIEREBO_TAVIO
bier1246	BIERIA_VOVO
biga1238	BIGA
bign1238	BIG_NAMBAS_UNMET
bila1257	BILAKURA
bilb1241	BILBIL
bile1244	BILE
bili1260	BILIN
bilo1248	BILOXI
bilu1244	BILUR
bilu1245	BILUA
bima1247	BIMA
bimi1240	BIMIN
bina1271	BINA
bina1277	BINANDERE
bine1240	BINE_KUNINI
bini1246	EDO
bino1237	ITNEG_BINONGAN
bint1246	BINTULU
binu1244	BINUKID
binu1245	TAIRORA_BINUMARIEN
bipi1237	BIPI
bira1253	ONGOTA
bira1254	MBIRAO
birg1239	BIRGIT
biri1259	BIRITAI
birk1242	BIRKED
birr1240	BIRRI_C_AFRICAN_REP
bise1238	BISENI
bisi1244	BISIS
biss1248	BISA
bisu1244	BISU
bitt1240	BIT
biwa1243	BIWAT_3
biyo1243	BIYUE
biyo1244	BIYOM
blab1237	BLABLANGA
blag1240	BLAGAR
blan1242	PLANG
boan1243	BOANO
bobo1254	BOBOT
bodo1267	BODO_GADABA
bodo1269	BODO_INDIA
bodo1272	BODO
boga1247	BOGAYA
boga1251	BOGA
bogh1241	BOGHOM
boik1241	KWUSAUN
boko1266	BOKO
boko1267	BOKOBARU
boky1238	BOKI
bola1250	BOLA
bolg1251	BOLGO
boli1255	BOLIA
bolo1262	C36E_BOLOKI_NGIRI
bolo1263	BOLONDO
bolo1266	BOLON
boly1239	PALIU
boma1246	KEMPEE
bomb1262	BOMBOMA
bomi1238	LEKE
bomk1234	BOM_2
bomu1247	BOMU
bomw1238	BOMWALI_2
bond1245	REMO
bond1246	BUDUKU_KULANGO
bond1247	BONDEI
bond1248	BONDUM_DOM_2
bone1254	BONERATE
bone1255	BENARAF
bong1282	BON_GULA
bong1284	BONGILI_1
bong1285	BONGO
bong1287	BONGGO
bong1291	BONGU
bonj1234	IMPFONDO
bora1263	BORA
bora1271	BORANA_OROMO_2
bord1248	CUNA
bore1247	GAMEI_2
borg1235	BORGU_FULFULDE
bori1243	BOKAR
boro1277	SHINASSHA
boro1279	BORONG
boro1282	BORORO
boru1244	RUKUL
boru1252	BORUCA
bosn1245	BOSNIAN
bosn1248	BOSMAN
botl1242	BOTLIKH
boto1242	SAMBAL_BOTOLAN
boun1243	KULANGO_BOUNA
bouy1240	YAY
brah1256	BRAHUI
brem1238	BUNABUN
brer1240	BRERI
bret1244	BRETON
brib1243	BRIBRI
brok1247	BROK_SKAD
broo1239	BROOKES_POINT_PALAWAN
brun1242	BRUNEI
brun1245	BISAYA_BRUNEI
buaa1245	BUA
buam1238	BWAMU_2
bube1242	BUBE
bubi1250	XEBIA
budo1241	BUDONG_BUDONG
budu1248	BUDUKH
budu1250	BUDU_2
budu1265	BUDUMA
budz1238	EGBUTA
buga1247	BUGAN
buga1250	BUKAUA
bugh1239	BUGHOTU
bugi1244	BUGINESE
bugu1246	BUGUN
buhi1243	BUHI
buhu1237	BUHUTU
bujh1238	BUJHYAL
buka1257	BUKAR_SADONG_BIDAYUH
buka1261	BUKAT
buki1248	BUKITAN
buki1249	BUKIYIP
buku1249	BUKUSU
bulg1262	BULGARIAN_2
buli1254	BULI_GHANA
buli1255	BULI
bull1247	MMANI_2
bulo1242	STIENG
bulu1251	BULU
buma1247	BUMANG
bumm1238	BUM
buna1273	BUNU
buna1275	BUNABA
buna1276	BUNAMA
buna1277	BUNA
bung1264	BUNGANDITJ
bung1265	BUNGU
bung1270	BUNGAIN
bunn1240	BUN
buno1241	BUNOGE
bunu1267	BUNUN
buol1237	BUOL
bura1267	BURARRA
bura1271	BURAK_2
bura1276	BURATE
bura1292	BURA
bure1242	BURE
burj1242	BURJI
burm1263	BURMBAR
buru1296	BURUSHASKI
buru1299	BURU
buru1301	BURUN
buru1303	BURU_MASARETE
buru1306	MINDIK
buru1307	BURUMAKOK
buru1320	BURUNGE
busa1253	ILLO_BUSA
bush1247	BUSHOONG
buso1238	BUSOA
buss1239	BUSSA_2
butm1237	TUR
butu1244	BUTUANON
buuu1244	BU_NIGERIA
buwa1243	BUWAL
buyu1239	D55_BUYU
bwaa1238	BOA_BUTA
bwai1242	BWAIDOKA
bwan1241	BWANABWANA
bwek1238	BWE_KAREN
bwel1238	BWELA
bwil1245	BWILE
bwis1242	BWISI
byan1241	BYANSI
cabe1245	CABECAR
caca1247	CACAOPERA
cacu1241	KAKUA
cadd1256	CADDO
cahu1264	CAHUILLA
cahu1268	CAHUARANO
caja1238	CHETILLA
cajo1238	CAJONOS_ZAPOTEC
cakf1236	MUSHERE
cala1258	TAGBANWA_KALAMIAN
cald1236	QUICHUA_PICHANCHA
came1252	MAMBILA_ATTA
caml1239	CAMLING
camp1261	SARDINIAN_CAMPIDANESE
camp1262	CAMPALAGIAN
cams1241	KAMSA
cana1262	QUICHUA_AZUAY
cand1248	CANDOSHI
cane1242	APANIEKRA
caom1238	SANJIANG_KAM
capa1241	CAPANAHUA
caqu1242	CAQUINTE
cara1270	CARA
cara1272	CARAPANA
cari1279	CARIJONA
carn1240	CAR
caro1242	CAROLINIAN
carp1235	SELICE_ROMANI
carr1249	CARRIER
cash1251	CASHIBO
cash1254	KAXINAWA
casi1235	CASIGURAN_NEGRITO
casu1237	CASUARINA_COAST_ASMAT
cata1286	CATAWBA
cavi1250	CAVINENA_1
cayu1241	CAYUSE
cayu1261	CAYUGA
cayu1262	CAYUBABA
ceba1235	SENUFO_CEBAARA
cebu1242	CEBUANO
cemu1238	CEMUHI
cent1972	KURDISH_CENTRAL
cent1973	KARAK_PASHTO
cent1989	KHMER
cent1990	NANCAWRI
cent1992	BUNOR
